,teamName,id,teamslug,teamorigin
504,Nagaworld FC,153476,nagaworld-fc,cambodia
505,Boeung Ket FC,95619,boeung-ket-fc,cambodia
506,Kirivong Soksen Chey,340471,kirivong-soksen-chey,cambodia
507,Phnom Penh Crown,35605,phnom-penh-crown,cambodia
508,Life FC,555838,life-fc,cambodia
509,ISI Dangkor Senchey FC,483831,isi-dangkor-senchey-fc,cambodia
510,Colombe FC,247067,colombe-fc,cameroon
511,Panthere Sportive du Nde,62220,panthere-sportive-du-nde,cameroon
512,Gazelle FA de Garoua,317671,gazelle-fa-de-garoua,cameroon
513,Coton Sport de Garoua,42575,coton-sport-de-garoua,cameroon
514,Stade Renard,247069,stade-renard,cameroon
515,Victoria United Limbe,294293,victoria-united-limbe,cameroon
516,Canon Yaoundé,42577,canon-yaounde,cameroon
517,PWD Bamenda,308673,pwd-bamenda,cameroon
518,Fauve Azur de Yaounde,317820,fauve-azur-de-yaounde,cameroon
519,Dynamo de Douala,310804,dynamo-de-douala,cameroon
520,AS Fortuna,276693,as-fortuna,cameroon
521,Aigle Royal DU Moungo,384465,aigle-royal-du-moungo,cameroon
522,Bamboutos FC de Mbouda,136726,bamboutos-fc-de-mbouda,cameroon
523,Astres FC de Douala,42576,astres-fc-de-douala,cameroon
524,Union Sportive de Douala,62230,union-sportive-de-douala,cameroon
525,Yong Sports Academy,62234,yong-sports-academy,cameroon
526,Forge FC,313716,forge-fc,canada
527,Atlético Ottawa,342076,atletico-ottawa,canada
528,Cavalry FC,309889,cavalry-fc,canada
